mode,query_repository,method,relevant_repositories,recommended_repositories,relevant_hits,precision_at_5,recall_at_5,hit_at_5,first_relevant_rank,reciprocal_rank
leave_one_out,build-your-own-x,hybrid,Made-With-ML|app-ideas|freeCodeCamp|free-programming-books|awesome-courses|coding-interview-university|papers-we-love|every-programmer-should-know|developer-roadmap|freecodecamp.cn,Made-With-ML|developer-roadmap|system-design-primer|freeCodeCamp|coding-interview-university,4,0.8,0.4,1,1.0,1.0
leave_one_out,build-your-own-x,ollama,Made-With-ML|app-ideas|freeCodeCamp|free-programming-books|awesome-courses|coding-interview-university|papers-we-love|every-programmer-should-know|developer-roadmap|freecodecamp.cn,freeCodeCamp|free-programming-books|awesome|coding-interview-university|public-apis,3,0.6,0.3,1,1.0,1.0
leave_one_out,react,semantic,ionic-framework|lodash|react-native|awesome-javascript|angular|ant-design|requests|animate.css|element|monaco-editor,ionic-framework|react-native|lodash|awesome-javascript|angular,5,1.0,0.5,1,1.0,1.0
leave_one_out,react,graph,ionic-framework|lodash|react-native|awesome-javascript|angular|ant-design|requests|animate.css|element|monaco-editor,lottie-android|react-native|swiper|styled-components|tailwindcss,1,0.2,0.1,1,2.0,0.5
leave_one_out,react,hybrid,ionic-framework|lodash|react-native|awesome-javascript|angular|ant-design|requests|animate.css|element|monaco-editor,ionic-framework|react-native|bootstrap|ant-design|electron,3,0.6,0.3,1,1.0,1.0
leave_one_out,react,ollama,ionic-framework|lodash|react-native|awesome-javascript|angular|ant-design|requests|animate.css|element|monaco-editor,freeCodeCamp|free-programming-books|awesome|coding-interview-university|996.ICU,0,0.0,0.0,0,,0.0
leave_one_out,vue,semantic,vuetify|element|awesome-vue|uni-app|vue-element-admin|taro|nuxt|vue2-elm|vim|node-v0.x-archive,vuetify|element|awesome-vue|vue-element-admin|uni-app,5,1.0,0.5,1,1.0,1.0
leave_one_out,vue,graph,vuetify|element|awesome-vue|uni-app|vue-element-admin|taro|nuxt|vue2-elm|vim|node-v0.x-archive,nuxt|awesome-vue|element|vue2-elm|vue-element-admin,5,1.0,0.5,1,1.0,1.0
leave_one_out,vue,hybrid,vuetify|element|awesome-vue|uni-app|vue-element-admin|taro|nuxt|vue2-elm|vim|node-v0.x-archive,vuetify|awesome-vue|element|vue-element-admin|uni-app,5,1.0,0.5,1,1.0,1.0
leave_one_out,vue,ollama,vuetify|element|awesome-vue|uni-app|vue-element-admin|taro|nuxt|vue2-elm|vim|node-v0.x-archive,freeCodeCamp|free-programming-books|awesome|coding-interview-university|996.ICU,0,0.0,0.0,0,,0.0
leave_one_out,awesome-python,semantic,awesome-java|awesome-go|awesome-machine-learning|awesome-cpp|flask|awesome-awesomeness|cpython|awesome-ios|awesome-android-ui|awesome-cheatsheets,cpython|flask|python-cheatsheet|awesome-java|pandas,3,0.6,0.3,1,1.0,1.0
leave_one_out,awesome-python,graph,awesome-java|awesome-go|awesome-machine-learning|awesome-cpp|flask|awesome-awesomeness|cpython|awesome-ios|awesome-android-ui|awesome-cheatsheets,pandas|Python|wtfpython|PythonDataScienceHandbook|python-cheatsheet,0,0.0,0.0,0,,0.0
leave_one_out,awesome-python,hybrid,awesome-java|awesome-go|awesome-machine-learning|awesome-cpp|flask|awesome-awesomeness|cpython|awesome-ios|awesome-android-ui|awesome-cheatsheets,cpython|pandas|Python|python-cheatsheet|free-programming-books,1,0.2,0.1,1,1.0,1.0
leave_one_out,awesome-python,ollama,awesome-java|awesome-go|awesome-machine-learning|awesome-cpp|flask|awesome-awesomeness|cpython|awesome-ios|awesome-android-ui|awesome-cheatsheets,freeCodeCamp|free-programming-books|awesome|public-apis|developer-roadmap,0,0.0,0.0,0,,0.0
leave_one_out,tensorflow,semantic,awesome-machine-learning|caffe|scikit-learn|opencv|transformers|awesome-public-datasets|keras|ML-For-Beginners|gym|models,awesome-machine-learning|scikit-learn|caffe|opencv|transformers,5,1.0,0.5,1,1.0,1.0
leave_one_out,tensorflow,graph,awesome-machine-learning|caffe|scikit-learn|opencv|transformers|awesome-public-datasets|keras|ML-For-Beginners|gym|models,gym|scikit-learn|caffe|awesome-go|awesome-python,3,0.6,0.3,1,1.0,1.0
leave_one_out,tensorflow,hybrid,awesome-machine-learning|caffe|scikit-learn|opencv|transformers|awesome-public-datasets|keras|ML-For-Beginners|gym|models,awesome-machine-learning|scikit-learn|caffe|transformers|awesome-python,4,0.8,0.4,1,1.0,1.0
leave_one_out,tensorflow,ollama,awesome-machine-learning|caffe|scikit-learn|opencv|transformers|awesome-public-datasets|keras|ML-For-Beginners|gym|models,freeCodeCamp|free-programming-books|awesome|coding-interview-university|996.ICU,0,0.0,0.0,0,,0.0
leave_one_out,javascript-algorithms,semantic,33-js-concepts|wtfjs|lodash|awesome-javascript|babel|javascript-questions|immutable-js|deno|clean-code-javascript|jest,33-js-concepts|lodash|wtfjs|babel|awesome-javascript,5,1.0,0.5,1,1.0,1.0
leave_one_out,javascript-algorithms,graph,33-js-concepts|wtfjs|lodash|awesome-javascript|babel|javascript-questions|immutable-js|deno|clean-code-javascript|jest,wtfjs|javascript-questions|clean-code-javascript|jest|30-Days-Of-JavaScript,4,0.8,0.4,1,1.0,1.0
leave_one_out,javascript-algorithms,hybrid,33-js-concepts|wtfjs|lodash|awesome-javascript|babel|javascript-questions|immutable-js|deno|clean-code-javascript|jest,33-js-concepts|wtfjs|javascript-questions|clean-code-javascript|babel,5,1.0,0.5,1,1.0,1.0
leave_one_out,javascript-algorithms,ollama,33-js-concepts|wtfjs|lodash|awesome-javascript|babel|javascript-questions|immutable-js|deno|clean-code-javascript|jest,freeCodeCamp|free-programming-books|awesome|public-apis|developer-roadmap,0,0.0,0.0,0,,0.0
leave_one_out,You-Dont-Know-JS,semantic,awesome-javascript|javascript-questions|lodash|wtfjs|javascript|jest|deno|33-js-concepts|30-Days-Of-JavaScript|hexo,javascript-questions|awesome-javascript|javascript|lodash|deno,5,1.0,0.5,1,1.0,1.0
leave_one_out,You-Dont-Know-JS,graph,awesome-javascript|javascript-questions|lodash|wtfjs|javascript|jest|deno|33-js-concepts|30-Days-Of-JavaScript|hexo,33-js-concepts|wtfjs|jest|pdf.js|clean-code-javascript,3,0.6,0.3,1,1.0,1.0
leave_one_out,You-Dont-Know-JS,hybrid,awesome-javascript|javascript-questions|lodash|wtfjs|javascript|jest|deno|33-js-concepts|30-Days-Of-JavaScript|hexo,javascript-questions|javascript|33-js-concepts|wtfjs|jest,5,1.0,0.5,1,1.0,1.0
leave_one_out,You-Dont-Know-JS,ollama,awesome-javascript|javascript-questions|lodash|wtfjs|javascript|jest|deno|33-js-concepts|30-Days-Of-JavaScript|hexo,freeCodeCamp|free-programming-books|awesome|public-apis|developer-roadmap,0,0.0,0.0,0,,0.0
leave_one_out,Python,semantic,Java|cpython|awesome-python|python-cheatsheet|scikit-learn|algorithm-visualizer|pandas|python-patterns|wtfpython|pytorch,Java|cpython|algorithm-visualizer|awesome-python|python-cheatsheet,5,1.0,0.5,1,1.0,1.0
